,alpha
15494,0.0
16599,1.0
8461,1.0
7646,-1.0
7743,1.0
3619,1.0
12495,0.0
8031,1.0
179,0.0
8373,1.0
12861,1.0
13962,1.0
6970,-1.0
10018,0.0
2005,0.0
11124,-1.0
10482,1.0
4774,1.0
225,1.0
11089,0.0
16738,1.0
10407,1.0
7611,0.0
5458,1.0
14174,1.0
1401,0.0
5874,-1.0
17104,0.0
4821,1.0
7009,1.0
3402,1.0
9954,0.0
16568,0.0
12910,1.0
6182,0.0
5640,1.0
10795,-1.0
16929,-1.0
13013,0.0
5807,0.0
10266,0.0
2153,-1.0
3593,1.0
7809,0.0
8534,-1.0
5934,0.0
607,1.0
13705,1.0
10219,-1.0
16711,-1.0
14594,1.0
10277,-1.0
13513,1.0
7597,1.0
15145,0.0
2476,0.0
15176,1.0
14615,-1.0
4255,0.0
17574,0.0
11850,0.0
4052,0.0
5282,0.0
10126,1.0
12494,0.0
11593,-1.0
4061,0.0
3019,-1.0
5293,0.0
10157,1.0
14724,1.0
1409,0.0
1652,0.0
15692,1.0
7106,-1.0
15170,-1.0
3234,0.0
7044,1.0
11960,1.0
5950,0.0
711,-1.0
1643,-1.0
2441,0.0
1508,-1.0
10826,1.0
2208,-1.0
6236,1.0
15432,0.0
5196,1.0
17469,-1.0
11004,1.0
9752,1.0
15001,0.0
14803,1.0
462,1.0
1463,0.0
1364,-1.0
3323,0.0
3668,1.0
16633,1.0
13281,1.0
7022,-1.0
12782,1.0
8855,0.0
8473,0.0
1151,1.0
17233,-1.0
14918,-1.0
269,0.0
9888,0.0
12539,-1.0
13797,0.0
14205,-1.0
5242,1.0
14271,1.0
13039,1.0
12804,1.0
10117,0.0
17219,-1.0
15440,1.0
10501,0.0
13593,1.0
4819,1.0
15643,-1.0
12902,1.0
13636,0.0
6206,0.0
17214,1.0
16413,1.0
15596,0.0
10113,1.0
1484,0.0
4653,1.0
1351,0.0
7775,0.0
10285,1.0
7804,1.0
896,1.0
1759,-1.0
6744,0.0
12236,1.0
16747,0.0
11125,0.0
4367,0.0
9432,-1.0
5126,1.0
14987,1.0
2456,0.0
420,1.0
16606,-1.0
1900,1.0
2542,-1.0
7872,1.0
36,1.0
6411,0.0
14111,1.0
13830,0.0
4209,1.0
1033,-1.0
9231,0.0
8268,1.0
16685,1.0
1013,-1.0
11174,1.0
11571,-1.0
10999,0.0
10951,-1.0
15342,0.0
10280,0.0
15720,0.0
2824,0.0
834,1.0
16585,1.0
11194,-1.0
14151,0.0
6208,1.0
14390,1.0
6463,1.0
7881,1.0
12060,1.0
11141,0.0
14117,1.0
9417,0.0
12394,1.0
9012,0.0
13349,0.0
428,0.0
9736,-1.0
4246,0.0
14146,1.0
2955,0.0
8249,1.0
3776,0.0
1127,-1.0
3556,0.0
15123,-1.0
6928,0.0
10896,-1.0
14144,-1.0
2764,1.0
1805,1.0
10525,-1.0
4426,-1.0
1405,1.0
7631,1.0
3949,1.0
15097,-1.0
7227,1.0
16409,-1.0
2444,1.0
13811,0.0
1239,1.0
6165,-1.0
4083,-1.0
890,-1.0
14299,0.0
11127,0.0
3132,0.0
8539,1.0
14949,0.0
15923,-1.0
10578,1.0
10459,0.0
14227,-1.0
4076,0.0
7030,1.0
14147,-1.0
495,-1.0
3803,0.0
2151,1.0
10109,0.0
10902,-1.0
12895,-1.0
7279,0.0
5732,0.0
4335,1.0
4073,-1.0
932,1.0
15307,-1.0
10864,0.0
3411,1.0
5212,0.0
8376,1.0
15004,-1.0
3874,1.0
14370,-1.0
16594,-1.0
1329,-1.0
12840,-1.0
11407,0.0
4909,0.0
1542,0.0
12201,0.0
17270,0.0
