,alpha
10176,0
4062,1
13002,1
11793,-1
9208,0
6162,0
2641,0
16744,0
11984,0
11390,-1
539,1
4874,1
13006,1
13339,1
14753,-1
10570,1
486,1
17163,0
8012,-1
5674,1
659,-1
14749,-1
15888,1
16829,-1
5331,0
7290,1
2706,-1
7111,0
1631,1
14278,0
11326,0
12756,-1
7991,0
11564,0
9532,-1
14462,0
15360,1
6580,1
10740,1
13327,1
15196,0
15566,1
10866,1
13829,0
1585,1
16981,1
7453,1
10640,-1
7282,0
9529,0
5063,1
14624,1
12370,0
6561,0
17056,-1
14647,-1
2142,0
14551,0
6303,-1
13313,0
15476,0
5943,0
11883,0
1486,1
576,1
8751,1
9985,0
1221,0
5344,0
4520,1
3720,1
5100,0
3667,0
2750,0
4125,0
15330,1
3179,0
10550,-1
310,0
10098,1
14489,0
9490,0
3700,0
15993,0
90,1
7565,1
5907,0
2339,0
15534,0
16187,1
12194,1
9512,0
16353,0
11752,0
9918,0
5924,0
7089,0
5793,0
16259,1
1426,-1
1340,0
6032,0
2733,0
10328,1
6533,0
7927,-1
15062,1
11810,1
10279,1
7006,0
12164,0
5151,0
873,1
8068,-1
9910,0
8685,0
15340,1
9713,0
15505,1
4986,1
5726,0
13922,1
7323,0
1194,0
6677,0
14007,0
164,1
16315,1
6009,-1
16900,1
13449,1
16222,0
13828,1
16046,1
215,1
12982,0
7859,0
9960,0
15288,-1
15565,1
7544,1
8207,1
11687,1
14433,0
6071,1
7904,-1
12357,1
12606,1
14953,0
3260,0
13718,1
15132,0
3007,1
13889,-1
16914,0
4443,1
15312,1
12755,1
4145,0
14747,1
4594,1
3662,-1
16229,1
13362,-1
6328,1
5734,-1
6978,1
2646,0
11215,0
17390,0
8618,0
11903,0
12065,-1
12626,0
14366,1
355,1
1517,1
5752,0
1516,0
6635,-1
4368,1
7745,0
12762,0
9595,0
7263,0
13560,0
12439,0
16295,0
14966,1
5951,0
10872,-1
2516,0
3862,0
17045,1
6470,0
3221,0
16996,-1
10042,-1
1097,1
143,-1
11721,0
11668,0
13154,0
15191,1
1350,0
4732,0
10021,0
16178,0
17453,1
4788,1
14831,0
506,1
7956,0
8245,-1
14274,-1
2713,0
16468,0
16539,0
16701,1
8665,0
11866,1
4677,0
3680,0
6704,0
17102,1
17244,0
17069,-1
7102,-1
2249,-1
9146,1
16220,0
9179,0
10909,1
10455,0
7877,-1
6988,0
13147,-1
404,1
903,1
10128,1
363,0
11879,1
17272,1
4597,0
2308,1
11006,0
15607,0
11727,1
5232,0
11167,1
656,0
5396,0
1700,0
8799,0
10134,1
5961,0
12506,1
3475,1
1746,0
15193,1
16311,0
4398,1
16680,1
12715,0
17187,-1
8431,1
3020,-1
5928,1
8405,-1
6870,0
4197,-1
15587,0
13422,0
13494,1
12117,1
16045,1
6327,1
12770,1
13227,1
1293,-1
14123,1
7296,1
6014,1
2474,-1
13963,1
15698,1
2003,1
11627,0
8655,1
15302,1
15142,0
8850,0
11200,0
531,-1
3479,-1
15966,-1
3723,0
12936,0
3125,1
5896,1
1878,0
4871,1
16411,1
10308,-1
6216,0
1680,0
10968,0
9397,0
14643,0
11441,-1
13184,1
3759,1
17432,1
6731,0
1461,1
2304,-1
826,1
4109,1
4347,0
6659,0
15531,0
613,-1
381,1
2947,0
6556,1
13272,0
4384,-1
11809,1
16076,1
4923,0
10306,0
13941,1
3168,1
2999,1
15215,-1
3250,1
2811,0
14427,0
12300,-1
1136,1
12185,1
14576,0
2670,-1
8260,-1
3674,-1
15099,1
10145,0
15709,1
1605,1
7633,0
6882,0
878,0
15386,0
5783,-1
8125,-1
3523,-1
11920,0
2446,1
6554,0
16414,1
14095,1
14430,-1
16061,0
392,0
13382,1
10193,-1
16320,1
12217,-1
6649,1
11636,0
15469,1
11176,0
14378,0
7969,0
15495,1
1614,1
16828,1
1637,0
8992,0
1321,0
13657,1
5272,0
11829,1
3801,0
3872,-1
7953,0
5708,0
6332,-1
12821,0
13601,0
4032,1
14414,1
7931,0
16849,-1
14407,0
12391,1
9677,0
11250,1
6662,-1
1858,-1
6073,1
2633,-1
9081,0
7959,-1
16810,1
2270,0
6674,-1
13316,1
13598,0
14963,0
1391,1
15225,0
371,1
4920,1
2329,1
17010,1
13003,1
9438,1
7805,0
8252,0
1169,0
3252,1
2487,1
15076,0
17555,1
7333,-1
14437,1
8056,-1
11703,1
88,1
11933,0
6036,-1
2246,0
5348,0
13779,-1
2168,0
12689,1
3527,0
1902,1
4457,1
4389,1
9671,0
894,1
13896,1
3562,-1
2698,0
