,alpha
10482,-1
4774,1
225,-1
11089,0
16738,-1
10407,-1
7611,1
5458,0
14174,0
1401,-1
5874,0
17104,0
4821,0
7009,-1
3402,-1
9954,0
16568,0
12910,1
6182,0
5640,1
10795,-1
16929,1
13013,0
5807,0
10266,1
2153,1
3593,1
7809,-1
8534,-1
5934,-1
607,-1
13705,1
10219,-1
16711,1
14594,-1
10277,-1
13513,1
7597,0
15145,0
2476,0
15176,1
14615,-1
4255,-1
17574,0
11850,1
4052,-1
5282,0
10126,1
12494,1
11593,-1
4061,-1
3019,-1
5293,0
10157,0
14724,-1
1409,1
1652,-1
15692,-1
7106,-1
15170,-1
3234,0
7044,-1
11960,1
5950,1
711,1
1643,1
2441,1
1508,1
10826,1
2208,-1
6236,1
15432,-1
5196,-1
17469,0
11004,-1
9752,1
15001,0
14803,-1
462,-1
1463,0
1364,1
3323,0
3668,0
16633,0
13281,1
7022,-1
12782,0
8855,0
8473,-1
1151,0
17233,1
14918,-1
269,0
9888,0
12539,1
13797,0
14205,-1
5242,-1
14271,-1
13039,0
12804,-1
10117,1
17219,-1
15440,-1
10501,0
13593,0
4819,1
15643,-1
12902,1
13636,1
6206,-1
17214,0
16413,-1
15596,0
10113,1
1484,-1
4653,0
1351,0
7775,1
10285,-1
7804,0
896,1
1759,1
6744,1
12236,-1
16747,1
11125,0
4367,1
9432,-1
5126,-1
14987,1
2456,0
420,0
16606,1
1900,1
2542,-1
7872,0
36,-1
6411,1
14111,-1
13830,0
4209,1
1033,1
9231,-1
8268,0
16685,-1
1013,-1
11174,-1
11571,0
10999,0
10951,1
15342,0
10280,-1
15720,0
2824,0
834,0
16585,0
11194,-1
14151,1
6208,1
14390,0
6463,1
7881,0
12060,1
11141,0
14117,0
9417,-1
12394,1
9012,1
13349,-1
428,1
9736,1
4246,0
14146,-1
2955,-1
8249,0
3776,0
1127,1
3556,1
15123,-1
6928,-1
10896,1
14144,-1
2764,-1
1805,1
10525,-1
4426,-1
1405,-1
7631,1
3949,-1
15097,-1
7227,-1
16409,-1
2444,-1
13811,0
1239,1
6165,-1
4083,-1
890,1
14299,0
11127,0
3132,0
8539,1
14949,-1
15923,1
10578,-1
10459,0
14227,-1
4076,0
7030,0
14147,-1
495,0
3803,-1
2151,1
10109,0
10902,0
12895,-1
7279,1
5732,0
4335,1
4073,0
932,1
15307,1
10864,0
3411,0
5212,1
8376,-1
15004,0
3874,0
14370,0
16594,0
1329,0
12840,-1
11407,-1
4909,0
1542,0
12201,1
17270,-1
11418,1
161,0
15936,0
17047,0
1168,0
2179,-1
9905,1
15983,1
5508,0
9293,0
14136,-1
5247,1
2957,0
1214,1
9113,0
12983,-1
12829,0
3159,-1
17404,-1
12596,0
14872,-1
6592,-1
10497,-1
1289,-1
3076,-1
11737,0
6779,-1
5713,1
16856,0
16151,1
15014,-1
6042,-1
10618,0
15793,-1
12377,1
4752,1
11758,1
14846,1
10206,0
14852,0
9868,1
4306,1
9483,-1
7884,1
6492,-1
14840,-1
9139,1
2865,-1
2982,-1
6110,0
14681,1
6709,0
6225,0
6929,0
16154,-1
10791,1
6629,0
6448,-1
11500,1
10324,-1
4057,1
1006,-1
16498,1
16248,1
11479,0
2272,0
15274,-1
10803,-1
17042,1
4641,-1
13001,0
3664,1
12293,-1
7542,-1
14993,0
3356,0
16033,1
12549,0
2196,0
5620,-1
13591,1
14807,0
9840,0
16035,0
3202,0
17169,1
3572,0
14103,-1
4918,-1
6037,0
7144,0
13015,1
7363,0
12369,0
559,-1
4504,-1
9194,1
33,1
10118,1
1926,1
5007,1
12026,1
7502,1
3222,-1
7334,0
2705,-1
6949,0
2549,-1
2226,-1
13574,1
1506,0
10508,0
4553,1
2002,1
373,1
15712,0
1396,1
2376,1
16332,-1
4484,1
12063,1
10532,0
6498,-1
7018,0
14612,-1
1981,-1
2638,-1
3009,-1
7100,1
14789,1
10005,0
2219,0
14841,1
530,-1
15964,-1
12386,1
556,0
10613,0
11968,1
8782,-1
14361,-1
14884,1
851,1
14101,0
10885,1
7264,0
11392,0
13140,0
1441,1
11550,-1
11337,1
15292,0
5701,-1
9523,1
15576,-1
11913,0
7746,1
4,1
6685,1
14628,0
16322,-1
14295,-1
4660,0
11223,1
3203,-1
10049,0
10292,-1
9401,0
9653,1
8941,0
5386,0
12264,0
3779,1
10124,1
8952,-1
473,0
10583,-1
3627,0
11830,0
220,0
2213,-1
16111,-1
13587,1
8088,0
5276,-1
10346,1
10557,1
15293,0
10176,0
4062,-1
13002,0
11793,0
9208,0
6162,-1
2641,-1
16744,0
11984,0
11390,0
539,-1
4874,-1
13006,-1
13339,-1
14753,0
10570,1
486,-1
17163,1
8012,0
5674,-1
659,1
14749,-1
15888,-1
16829,1
5331,1
7290,1
2706,-1
7111,1
1631,1
14278,0
11326,0
12756,-1
7991,1
11564,0
9532,0
14462,0
15360,-1
6580,-1
10740,-1
13327,0
15196,0
15566,1
10866,1
13829,-1
1585,1
16981,1
7453,0
10640,1
7282,0
9529,0
5063,-1
14624,-1
12370,0
6561,1
17056,-1
14647,1
2142,1
14551,0
6303,0
13313,0
15476,-1
5943,-1
11883,0
1486,0
576,1
8751,-1
9985,0
1221,0
5344,-1
4520,-1
3720,-1
5100,0
3667,1
2750,0
4125,1
15330,-1
3179,-1
10550,1
310,1
10098,-1
14489,-1
9490,0
3700,1
15993,1
90,-1
7565,-1
5907,0
2339,1
15534,-1
16187,-1
12194,1
9512,0
16353,-1
11752,0
9918,1
5924,1
7089,1
5793,0
16259,-1
1426,0
1340,0
6032,1
2733,1
10328,-1
6533,-1
7927,1
15062,-1
11810,-1
10279,-1
7006,1
12164,0
5151,0
873,1
8068,1
9910,0
8685,0
15340,1
9713,-1
15505,0
4986,1
5726,0
13922,0
7323,1
1194,0
6677,0
14007,0
164,1
16315,-1
6009,0
16900,-1
13449,0
16222,0
13828,0
16046,0
215,-1
12982,0
7859,0
9960,0
15288,1
15565,-1
7544,-1
8207,-1
11687,-1
14433,-1
6071,1
7904,0
12357,1
12606,1
14953,1
3260,0
13718,1
15132,0
3007,-1
13889,1
16914,0
4443,-1
15312,0
12755,1
4145,1
14747,1
4594,1
3662,1
16229,0
13362,1
6328,1
5734,-1
6978,1
2646,0
11215,-1
17390,0
8618,0
11903,1
12065,1
12626,1
14366,-1
355,-1
1517,1
5752,0
1516,0
6635,1
4368,1
7745,1
12762,0
9595,1
7263,-1
13560,0
12439,0
16295,0
14966,1
5951,1
10872,1
2516,-1
3862,0
17045,1
6470,1
3221,0
16996,1
10042,1
1097,-1
143,-1
11721,1
11668,0
13154,-1
15191,-1
1350,1
4732,1
10021,0
16178,0
17453,1
4788,0
14831,0
506,0
7956,0
8245,-1
14274,1
2713,1
16468,1
16539,-1
16701,-1
8665,1
11866,-1
4677,1
3680,1
6704,0
17102,1
17244,0
17069,-1
7102,1
2249,-1
9146,1
16220,0
9179,0
10909,1
10455,1
7877,0
6988,-1
13147,1
404,0
903,-1
10128,-1
363,0
11879,-1
17272,-1
4597,0
2308,-1
11006,0
15607,0
11727,1
5232,-1
11167,1
656,0
5396,1
1700,1
8799,1
10134,-1
5961,0
12506,1
3475,1
1746,0
15193,1
16311,1
4398,1
16680,-1
12715,-1
17187,1
8431,0
3020,1
5928,0
8405,1
6870,1
4197,0
15587,1
13422,0
13494,-1
12117,1
16045,-1
6327,-1
12770,1
13227,-1
1293,1
14123,-1
7296,-1
6014,-1
2474,-1
13963,-1
15698,-1
2003,-1
11627,0
8655,-1
15302,0
15142,0
8850,1
11200,-1
531,-1
3479,1
15966,1
3723,-1
12936,0
3125,1
5896,1
1878,0
4871,-1
16411,0
10308,0
6216,-1
1680,-1
10968,1
9397,0
14643,0
11441,1
13184,-1
3759,0
17432,-1
6731,0
1461,0
2304,-1
826,-1
4109,-1
4347,0
6659,1
15531,0
613,1
381,0
2947,0
6556,-1
13272,1
4384,0
11809,-1
16076,-1
4923,1
10306,0
13941,-1
3168,1
2999,1
15215,-1
3250,-1
2811,1
14427,0
12300,-1
1136,-1
12185,-1
14576,1
2670,0
8260,1
3674,1
15099,-1
10145,0
15709,1
1605,-1
7633,0
6882,0
878,0
15386,1
5783,-1
8125,-1
3523,1
11920,1
2446,-1
6554,0
16414,1
