,alpha
12284,1
12285,-1
12286,-1
12287,-1
12288,-1
12289,0
12290,-1
12291,-1
12292,-1
12293,1
12294,-1
12295,0
12296,0
12297,0
12298,0
12299,1
12300,1
12301,-1
12302,0
12303,1
12304,-1
12305,0
12306,1
12307,0
12308,-1
12309,0
12310,-1
12311,1
12312,0
12313,-1
12314,0
12315,1
12316,-1
12317,-1
12318,1
12319,-1
12320,-1
12321,1
12322,1
12323,1
12324,-1
12325,1
12326,-1
12327,0
12328,0
12329,-1
12330,0
12331,1
12332,-1
12333,-1
12334,1
12335,-1
12336,0
12337,1
12338,1
12339,-1
12340,-1
12341,1
12342,0
12343,-1
12344,1
12345,1
12346,-1
12347,-1
12348,-1
12349,-1
12350,-1
12351,-1
12352,0
12353,0
12354,1
12355,-1
12356,-1
12357,-1
12358,1
12359,1
12360,1
12361,-1
12362,1
12363,1
12364,1
12365,-1
12366,1
12367,-1
12368,1
12369,0
12370,1
12371,1
12372,0
12373,1
12374,0
12375,0
12376,1
12377,0
12378,0
12379,0
12380,0
12381,1
12382,0
12383,-1
12384,1
12385,-1
12386,0
12387,0
12388,0
12389,0
12390,0
12391,1
12392,-1
12393,1
12394,-1
12395,1
12396,1
12397,0
12398,0
12399,0
12400,-1
12401,-1
12402,0
12403,-1
12404,-1
12405,1
12406,0
12407,-1
12408,-1
12409,-1
12410,0
12411,-1
12412,0
12413,1
12414,-1
12415,-1
12416,-1
12417,-1
12418,1
12419,1
12420,1
12421,-1
12422,-1
12423,-1
12424,0
12425,0
12426,1
12427,-1
12428,-1
12429,1
12430,0
12431,1
12432,-1
12433,-1
12434,-1
12435,-1
12436,0
12437,0
12438,1
12439,0
12440,1
12441,-1
12442,1
12443,-1
12444,-1
12445,0
12446,1
12447,-1
12448,1
12449,1
12450,-1
12451,-1
12452,-1
12453,-1
12454,-1
12455,1
12456,1
12457,-1
12458,1
12459,-1
12460,1
12461,-1
12462,0
12463,1
12464,1
12465,1
12466,-1
12467,-1
12468,1
12469,0
12470,1
12471,1
12472,-1
12473,-1
12474,1
12475,-1
12476,-1
12477,0
12478,0
12479,0
12480,0
12481,-1
12482,0
12483,-1
12484,-1
12485,-1
12486,-1
12487,0
12488,0
12489,1
12490,1
12491,0
12492,1
12493,1
12494,0
12495,-1
12496,1
12497,-1
12498,-1
12499,-1
12500,-1
12501,-1
12502,1
12503,0
12504,-1
12505,0
12506,0
12507,-1
12508,-1
12509,-1
12510,-1
12511,0
12512,0
12513,1
12514,0
12515,0
12516,-1
12517,-1
12518,-1
12519,-1
12520,0
12521,-1
12522,1
12523,0
12524,1
12525,1
12526,0
12527,-1
12528,1
12529,-1
12530,-1
12531,-1
12532,0
12533,1
12534,1
12535,-1
12536,0
12537,1
12538,-1
12539,1
12540,1
12541,1
12542,0
12543,1
12544,0
12545,1
12546,1
12547,1
12548,1
12549,-1
12550,-1
12551,1
12552,-1
12553,1
12554,0
12555,-1
12556,-1
12557,1
12558,-1
12559,-1
12560,-1
12561,-1
12562,0
12563,-1
12564,1
12565,-1
12566,-1
12567,1
12568,-1
12569,-1
12570,1
12571,-1
12572,0
12573,-1
12574,1
12575,1
12576,1
12577,1
12578,0
12579,-1
12580,-1
12581,-1
12582,0
12583,-1
12584,0
12585,0
12586,-1
12587,1
12588,0
12589,-1
12590,1
12591,-1
12592,0
12593,-1
12594,-1
12595,0
12596,1
12597,0
12598,0
12599,-1
12600,1
12601,1
12602,-1
12603,-1
12604,1
12605,1
12606,-1
12607,-1
12608,-1
12609,-1
12610,1
12611,-1
12612,1
12613,1
12614,1
12615,0
12616,1
12617,1
12618,-1
12619,-1
12620,0
12621,0
12622,1
12623,1
12624,-1
12625,1
12626,1
12627,-1
12628,-1
12629,-1
12630,1
12631,-1
12632,-1
12633,-1
12634,-1
12635,-1
12636,1
12637,0
12638,0
12639,-1
12640,0
12641,1
12642,1
12643,1
12644,1
12645,-1
12646,0
12647,1
12648,-1
12649,1
12650,1
12651,1
12652,1
12653,0
12654,-1
12655,-1
12656,0
12657,1
12658,0
12659,1
12660,-1
12661,-1
12662,-1
12663,-1
12664,1
12665,-1
12666,1
12667,-1
12668,1
12669,0
12670,0
12671,1
12672,0
12673,1
12674,1
12675,-1
12676,0
12677,0
12678,1
12679,-1
12680,-1
12681,1
12682,0
12683,1
12684,0
12685,0
12686,-1
12687,1
12688,0
12689,0
12690,1
12691,-1
12692,0
12693,0
12694,1
12695,0
12696,1
12697,1
12698,-1
12699,1
12700,1
12701,1
12702,-1
12703,1
12704,0
12705,1
12706,-1
12707,-1
12708,-1
12709,-1
12710,-1
12711,1
12712,1
12713,0
12714,0
12715,-1
12716,1
12717,-1
12718,-1
12719,-1
12720,-1
12721,-1
12722,1
12723,1
12724,-1
12725,1
12726,1
12727,-1
12728,-1
12729,-1
12730,-1
12731,-1
12732,1
12733,-1
12734,-1
12735,-1
12736,-1
12737,-1
12738,-1
12739,1
12740,-1
12741,0
12742,-1
12743,1
12744,1
12745,1
12746,1
12747,-1
12748,1
12749,0
12750,-1
12751,1
12752,-1
12753,0
12754,-1
12755,1
12756,-1
12757,-1
12758,-1
12759,-1
12760,-1
12761,1
12762,1
12763,-1
12764,-1
12765,0
12766,-1
12767,1
12768,-1
12769,-1
12770,-1
12771,0
12772,-1
12773,-1
12774,0
12775,-1
12776,1
12777,-1
12778,0
12779,-1
12780,-1
12781,-1
12782,-1
12783,1
12784,1
12785,-1
12786,1
12787,1
12788,1
12789,-1
12790,-1
12791,1
12792,-1
