,alpha
12273,-1
12274,1
12275,0
12276,1
12277,0
12278,0
12279,-1
12280,0
12281,0
12282,0
12283,0
12284,-1
12285,1
12286,-1
12287,-1
12288,1
12289,-1
12290,1
12291,-1
12292,0
12293,-1
12294,1
12295,0
12296,1
12297,-1
12298,0
12299,0
12300,0
12301,-1
12302,-1
12303,-1
12304,-1
12305,0
12306,-1
12307,0
12308,-1
12309,0
12310,0
12311,-1
12312,-1
12313,0
12314,0
12315,-1
12316,-1
12317,-1
12318,0
12319,-1
12320,1
12321,1
12322,1
12323,-1
12324,-1
12325,-1
12326,-1
12327,-1
12328,0
12329,0
12330,0
12331,-1
12332,0
12333,0
12334,1
12335,0
12336,0
12337,-1
12338,0
12339,-1
12340,0
12341,1
12342,0
12343,-1
12344,0
12345,1
12346,0
12347,1
12348,0
12349,1
12350,0
12351,0
12352,0
12353,-1
12354,-1
12355,1
12356,0
12357,0
12358,-1
12359,-1
12360,1
12361,1
12362,0
12363,-1
12364,0
12365,0
12366,-1
12367,1
12368,0
12369,0
12370,1
12371,-1
12372,-1
12373,1
12374,1
12375,0
12376,0
12377,0
12378,0
12379,0
12380,1
12381,0
12382,-1
12383,1
12384,0
12385,-1
12386,-1
12387,1
12388,-1
12389,1
12390,0
12391,-1
12392,-1
12393,1
12394,1
12395,-1
12396,0
12397,-1
12398,1
12399,-1
12400,-1
12401,1
12402,-1
12403,1
12404,-1
12405,0
12406,0
12407,-1
12408,0
12409,-1
12410,0
12411,0
12412,0
12413,0
12414,1
12415,1
12416,1
12417,0
12418,0
12419,-1
12420,0
12421,-1
12422,0
12423,-1
12424,0
12425,1
12426,-1
12427,-1
12428,1
12429,0
12430,-1
12431,0
12432,0
12433,0
12434,0
12435,1
12436,1
12437,1
12438,0
12439,1
12440,-1
12441,0
12442,-1
12443,-1
12444,1
12445,0
12446,0
12447,1
12448,0
12449,-1
12450,0
12451,0
12452,-1
12453,0
12454,1
12455,0
12456,0
12457,-1
12458,1
12459,0
12460,-1
12461,0
12462,0
12463,1
12464,0
12465,1
12466,0
12467,1
12468,-1
12469,0
12470,0
12471,1
12472,0
12473,-1
12474,0
12475,0
12476,-1
12477,1
12478,-1
12479,-1
12480,1
12481,-1
12482,1
12483,0
12484,0
12485,1
12486,0
12487,-1
12488,-1
12489,-1
12490,0
12491,0
12492,1
12493,1
12494,1
12495,0
12496,0
12497,0
12498,0
12499,1
12500,0
12501,1
12502,-1
12503,1
12504,-1
12505,0
12506,0
12507,0
12508,0
12509,0
12510,-1
12511,0
12512,-1
12513,-1
12514,0
12515,0
12516,1
12517,-1
12518,0
12519,0
12520,-1
12521,0
12522,-1
12523,-1
12524,0
12525,0
12526,0
12527,-1
12528,-1
12529,0
12530,1
12531,-1
12532,1
12533,0
12534,0
12535,0
12536,0
12537,-1
12538,0
12539,0
12540,1
12541,0
12542,-1
12543,1
12544,0
12545,-1
12546,1
12547,-1
12548,1
12549,0
12550,1
12551,0
12552,0
12553,0
12554,0
12555,-1
12556,0
12557,-1
12558,1
12559,-1
12560,-1
12561,1
12562,0
12563,-1
12564,1
12565,-1
12566,1
12567,1
12568,-1
12569,-1
12570,0
12571,1
12572,0
12573,1
12574,-1
12575,1
12576,0
12577,0
12578,1
12579,1
12580,1
12581,0
12582,0
12583,0
12584,0
12585,-1
12586,-1
12587,0
12588,0
12589,1
12590,-1
12591,0
12592,0
12593,-1
12594,1
12595,0
12596,-1
12597,0
12598,0
12599,-1
12600,1
12601,1
12602,0
12603,1
12604,1
12605,-1
12606,1
12607,1
12608,-1
12609,1
12610,0
12611,1
12612,1
12613,-1
12614,1
12615,0
12616,-1
12617,1
12618,-1
12619,-1
12620,1
12621,-1
12622,-1
12623,-1
12624,0
12625,-1
12626,0
